userid,Date,pv_cnt,cart_cnt,fav_cnt,buy_cnt,item_nunique,cat_nunique
1,2017-11-25,5,0,0,0,5,5
1,2017-11-26,3,0,0,0,3,2
1,2017-11-27,5,0,0,0,5,5
1,2017-11-28,11,0,0,0,9,5
1,2017-11-29,6,0,0,0,6,4
1,2017-11-30,9,0,0,0,8,7
1,2017-12-01,3,0,0,0,3,3
1,2017-12-02,7,0,0,0,6,3
1,2017-12-03,4,0,0,0,4,2
2,2017-11-25,1,0,0,0,1,1
2,2017-11-26,7,0,4,0,8,6
2,2017-11-27,2,0,0,0,2,2
2,2017-11-28,17,0,2,2,17,10
2,2017-11-29,0,0,1,0,1,1
2,2017-12-01,0,0,0,1,1,1
2,2017-12-02,11,0,0,4,9,6
2,2017-12-03,16,3,0,0,13,7
3,2017-11-25,2,1,0,0,3,3
3,2017-11-26,3,1,1,0,5,5
3,2017-11-27,2,2,1,0,5,3
3,2017-11-28,0,0,1,0,1,1
3,2017-11-29,2,1,0,0,3,3
3,2017-11-30,4,7,2,0,13,11
3,2017-12-01,9,2,0,0,11,9
3,2017-12-02,8,1,0,0,9,5
3,2017-12-03,3,0,0,0,3,3
4,2017-11-25,1,0,0,0,1,1
4,2017-11-28,139,8,0,3,108,14
4,2017-11-29,47,0,0,0,29,7
4,2017-11-30,18,4,0,1,20,8
4,2017-12-01,43,1,0,0,35,5
4,2017-12-02,14,0,0,0,12,4
4,2017-12-03,6,0,0,0,6,3
5,2017-11-26,4,0,0,0,4,2
5,2017-11-27,10,0,0,0,10,6
5,2017-11-28,15,0,0,0,14,11
5,2017-11-30,29,0,0,0,29,17
5,2017-12-02,6,0,0,0,6,3
6,2017-11-25,11,2,1,0,14,9
6,2017-11-26,6,0,0,0,6,4
6,2017-11-27,9,1,1,0,11,8
6,2017-11-28,4,1,0,0,5,4
6,2017-11-29,7,0,0,0,6,5
6,2017-11-30,20,1,0,0,17,8
6,2017-12-01,27,2,0,0,29,10
6,2017-12-02,14,2,0,0,15,9
6,2017-12-03,5,0,0,0,4,2
7,2017-11-25,32,1,0,0,27,15
7,2017-11-26,17,0,0,0,14,9
7,2017-11-27,6,0,0,0,6,5
7,2017-11-28,3,0,0,0,3,3
7,2017-11-29,2,0,0,0,2,2
7,2017-11-30,1,0,0,0,1,1
7,2017-12-01,9,1,0,0,8,5
7,2017-12-02,13,1,1,0,13,8
7,2017-12-03,8,1,0,0,7,5
8,2017-11-25,1,0,0,0,1,1
8,2017-11-30,3,0,0,0,3,3
8,2017-12-01,7,1,0,0,7,3
8,2017-12-02,5,1,0,0,5,2
8,2017-12-03,3,0,0,0,3,1
9,2017-11-27,11,4,0,0,8,5
9,2017-11-28,31,2,0,0,20,5
9,2017-11-29,1,0,0,0,1,1
9,2017-12-02,2,0,0,0,2,2
9,2017-12-03,8,0,0,0,8,6
10,2017-11-27,12,0,1,0,11,5
10,2017-11-30,6,0,0,0,6,5
10,2017-12-01,5,0,0,0,4,1
10,2017-12-02,12,0,0,0,9,4
10,2017-12-03,9,0,1,0,10,1
11,2017-11-25,27,0,0,1,19,7
11,2017-11-26,28,0,1,0,28,20
11,2017-11-27,32,0,0,0,29,18
11,2017-11-28,4,1,0,0,5,4
11,2017-11-30,31,2,1,0,30,6
11,2017-12-01,4,0,0,0,3,1
11,2017-12-02,20,3,0,0,21,11
11,2017-12-03,4,0,0,0,4,4
13,2017-11-26,1,0,0,0,1,1
13,2017-11-29,4,1,0,0,5,3
13,2017-12-01,1,0,0,0,1,1
13,2017-12-02,1,1,0,0,2,2
13,2017-12-03,0,2,0,0,2,1
