userid,u_pv,u_cart,u_fav,u_buy_hist,u_item_nunique,u_cat_nunique,active_days,is_buy_before,cart_pv_ratio,item_focus_ratio,hist_buy_strength,pv_last1,cart_last1,fav_last1,last_gap,label
1,42,0,0,0,39,31,7,0,0.023255813953488372,0.9069767441860465,0.0,3.0,0.0,0.0,1,0
2,27,0,7,3,30,21,6,1,0.03571428571428571,1.0714285714285714,0.0967741935483871,0.0,0.0,0.0,1,1
3,22,14,5,0,41,35,7,0,0.6521739130434783,1.7826086956521738,0.0,9.0,2.0,0.0,1,0
4,248,13,0,4,193,35,5,1,0.05622489959839357,0.7751004016064257,0.020618556701030927,43.0,1.0,0.0,1,0
5,58,0,0,0,57,36,4,0,0.01694915254237288,0.9661016949152542,0.0,0.0,0.0,0.0,2,0
6,84,7,2,0,88,48,7,0,0.09411764705882353,1.035294117647059,0.0,27.0,2.0,0.0,1,0
7,70,2,0,0,61,40,7,0,0.04225352112676056,0.8591549295774648,0.0,9.0,1.0,0.0,1,0
8,11,1,0,0,11,7,3,0,0.16666666666666666,0.9166666666666666,0.0,7.0,1.0,0.0,1,0
9,43,6,0,0,29,11,3,0,0.1590909090909091,0.6590909090909091,0.0,0.0,0.0,0.0,3,0
10,23,0,1,0,21,11,3,0,0.041666666666666664,0.875,0.0,5.0,0.0,0.0,1,0
11,126,3,2,1,114,56,6,1,0.031496062992125984,0.8976377952755905,0.008695652173913044,4.0,0.0,0.0,1,0
13,6,1,0,0,7,5,3,0,0.2857142857142857,1.0,0.0,1.0,0.0,0.0,1,0
14,21,4,0,0,20,8,5,0,0.22727272727272727,0.9090909090909091,0.0,8.0,3.0,0.0,1,0
15,7,0,0,0,7,7,3,0,0.125,0.875,0.0,0.0,0.0,0.0,2,0
16,68,1,2,2,58,31,6,1,0.028985507246376812,0.8405797101449275,0.03389830508474576,11.0,0.0,0.0,1,0
17,69,3,0,1,67,25,4,1,0.05714285714285714,0.9571428571428572,0.014705882352941176,3.0,0.0,0.0,1,0
18,57,0,10,0,60,39,6,0,0.017241379310344827,1.0344827586206897,0.0,0.0,0.0,0.0,2,0
19,36,0,0,0,32,18,5,0,0.02702702702702703,0.8648648648648649,0.0,11.0,0.0,0.0,1,0
20,67,10,0,1,75,49,7,1,0.16176470588235295,1.1029411764705883,0.013157894736842105,20.0,0.0,0.0,1,0
21,259,1,5,0,223,62,6,0,0.007692307692307693,0.8576923076923076,0.0,0.0,0.0,0.0,2,0
23,37,0,0,0,31,19,5,0,0.02631578947368421,0.8157894736842105,0.0,4.0,0.0,0.0,1,0
24,19,2,0,1,22,15,4,1,0.15,1.1,0.043478260869565216,0.0,0.0,0.0,2,0
25,45,0,1,3,46,27,7,1,0.021739130434782608,1.0,0.06382978723404255,1.0,0.0,0.0,1,0
26,9,0,0,0,9,4,2,0,0.1,0.9,0.0,0.0,0.0,0.0,2,0
27,39,2,0,1,35,16,4,1,0.075,0.875,0.027777777777777776,13.0,2.0,0.0,1,0
28,91,0,8,1,58,19,6,1,0.010869565217391304,0.6304347826086957,0.01694915254237288,29.0,0.0,6.0,1,1
29,86,2,0,0,82,42,7,0,0.034482758620689655,0.9425287356321839,0.0,6.0,0.0,0.0,1,0
30,112,0,0,1,96,37,7,1,0.008849557522123894,0.8495575221238938,0.010309278350515464,7.0,0.0,0.0,1,0
31,25,2,8,0,29,19,5,0,0.11538461538461539,1.1153846153846154,0.0,16.0,1.0,0.0,1,0
32,43,3,0,0,38,21,6,0,0.09090909090909091,0.8636363636363636,0.0,0.0,0.0,0.0,2,0
33,65,4,0,3,46,13,2,1,0.07575757575757576,0.696969696969697,0.06382978723404255,0.0,0.0,0.0,2,0
34,19,4,5,0,25,14,4,0,0.25,1.25,0.0,0.0,0.0,0.0,2,0
35,7,2,0,0,8,6,2,0,0.375,1.0,0.0,0.0,0.0,0.0,5,0
37,3,1,1,0,5,3,3,0,0.5,1.25,0.0,1.0,0.0,1.0,1,0
38,55,3,0,1,52,23,6,1,0.07142857142857142,0.9285714285714286,0.018867924528301886,5.0,1.0,0.0,1,0
39,82,0,0,3,64,30,7,1,0.012048192771084338,0.7710843373493976,0.046153846153846156,3.0,0.0,0.0,1,1
40,56,8,1,1,49,16,4,1,0.15789473684210525,0.8596491228070176,0.02,12.0,4.0,0.0,1,0
41,251,10,25,11,218,103,6,1,0.04365079365079365,0.8650793650793651,0.0502283105022831,0.0,0.0,0.0,2,1
42,36,3,0,0,37,24,5,0,0.10810810810810811,1.0,0.0,4.0,0.0,0.0,1,0
43,62,3,8,2,62,19,7,1,0.06349206349206349,0.9841269841269841,0.031746031746031744,0.0,0.0,0.0,1,1
44,138,5,3,1,121,58,7,1,0.04316546762589928,0.8705035971223022,0.00819672131147541,17.0,0.0,0.0,1,0
45,93,2,0,1,86,32,7,1,0.031914893617021274,0.9148936170212766,0.011494252873563218,18.0,0.0,0.0,1,0
46,39,1,0,4,41,20,5,1,0.05,1.025,0.09523809523809523,6.0,0.0,0.0,1,1
47,187,0,0,0,122,17,7,0,0.005319148936170213,0.648936170212766,0.0,34.0,0.0,0.0,1,0
48,54,0,11,1,59,38,6,1,0.01818181818181818,1.0727272727272728,0.016666666666666666,2.0,0.0,0.0,1,0
49,125,5,1,0,114,47,7,0,0.047619047619047616,0.9047619047619048,0.0,38.0,3.0,0.0,1,0
50,106,13,3,6,85,45,5,1,0.1308411214953271,0.794392523364486,0.06976744186046512,32.0,5.0,2.0,1,1
51,22,2,0,0,22,7,3,0,0.13043478260869565,0.9565217391304348,0.0,7.0,0.0,0.0,1,1
53,60,5,0,0,57,31,4,0,0.09836065573770492,0.9344262295081968,0.0,24.0,3.0,0.0,1,0
